AAB	Abelag Aviation - Belgium	ABG
BBW	BB Airways Pvt. Limited - Nepal	Beebee Airways
BBX	Bel Air Aviation A/S - Denmark	Bluebel
BBY	Blue Bird Aviation - Yemen	Yemen Blue
BBZ	Blue Bird Aviation Ltd - Kenya	Cobra
BCA	Blue Sky Aviation Co., Ltd - Mongolia	Blue Sky Mongolia
BCB	Carib Express - Barbados	Wavebird
BCF	B.A.C.H. Flugbetriebsges.M.B.H. - Austria	Bach
BCG	Management Unit of North Sea Mathematical Models (Rbins-Mumm) - Belgium	Belgian Coastguard
BCH	Phillips Air (Del Rio, TX) - United States	Beachball
BCI	Blue Islands - United Kingdom	Blue Island
BCJ	Blue Jet Charters Sp. z.o.o. - Poland	Blue Boy
BCK	Priority Aviation Company, Inc (Kansas City, MO) - United States	Bankcheck
BCN	Ocean Air - Mauritania	Blue Ocean
BCR	British Charter - United Kingdom	Backer
BCS	European Air Transport - Belgium	Eurotrans
BCY	Cityjet - Ireland	City-Ireland
BDA	Blue Dart Aviation Ltd - India	Blue Dart
BDF	Surveillance Australia P/L - Australia	Border Force
BDG	Mississippi State University, Ms - United States	Bulldog
BDI	Benair A/S - Denmark	Birdie
BDJ	Deer Jet (Beijing) Co., Ltd. - China	Crown Jet
BDN	Boscombe Down Dera - United Kingdom	Gauntlet
BDR	Badr Airlines - Sudan	Badr Air
BDS	South Asian Airlines Ltd - Bangladesh	South Asian
BDV	Aberdair Aviation Limited - Kenya	Aberdav
BEE	Jersey European T/A Flybe - United Kingdom	Jersey
BEF	Balear Express, S.L. - Spain	Balear Express
BEG	Bulgarian Eagle - Bulgaria	Bulgarian Eagle
BEK	Berkhut Air - Kazakhstan	Bekair
BEL	Brussels Airlines - Belgium	Beeline
BEN	Schweitzer Engineering Laboratories, Inc. - United States	Franklin
BER	Fly Air41 Airways d.o.o. - Croatia	Berlin
BET	BETA - Brazilian Express Transportes Aereos Ltda - Brazil	Beta Cargo
BEU	Bateleur Air Charter Services CC - South Africa	Bateleur
BEV	Bellavia Ltd - Greece	Bev Air
BEY	Bestfly, S.L. - Spain	Bestfly
BEZ	Kingfisher Air Services (San Juan, PR) - United States	Sea Breeze
BFC	Basler Flight Service, Inc. (Oshkosh, WI) - United States	Basler
BFD	Bertelsmann AG, Guetersloh - Germany	Media Jet
BFF	Air Nunavut - Canada	Air Baffin
BFG	Bright Flight Ltd. - Bulgaria	Bright Flight
BFK	Inner Mongolia Northern Express General Aviation Co., Ltd - China	Northern Express
BFL	Buffalo Airways Ltd. - Canada	Buffalo
BFM	Beijing PanAm International Aviation Academy Co., Ltd - China	Fan May
BFO	Bakhtar Afghan Airlines - Afghanistan	Bakhtar
BFR	Burkina Airlines - Burkina Faso	Burklines
BFT	Border Air Training - United Kingdom	Border
BFW	VIP Air Transport - Bahrain	Summan
BFY	Bestfly Aircraft Management Aruba - Netherlands	Mwango Best
BGA	Airbus Transport International (ATI) - France	Belouga
BGB	Big Bend Community College - United States	Big Bend
BGC	Good Jet Co., Ltd - China	Yandu
BGE	Aerobridge - United States	Aerobridge
BGF	Special Purpose Aviation Operator-SAO - Bulgaria	Bulgarian
BGG	Aero BG, S.A. de C.V. - Mexico	Aero BG
BGH	BH Air - Bulgaria	Balkan Holidays
BGI	British Gulf International Co. Ltd - Sao Tome and Principe	British Gulf
BGN	Air Inter Transport Co., Ltd. - Thailand	Skybuddy
BGR	Bridger Aerospace - United States	Bridger
BGY	Bingo Airways Sp. z.o.o. - Poland	Skimmer
BHA	Buddha Air Pvt. Ltd - Nepal	Buddha Air
BHC	Aerotaxis de la Bahia, S.A. de C.V. - Mexico	Bahia
BHD	Bangkok Helicopter Services Co., Ltd - Thailand	Bangkok Dusit
BHI	Balkh Airlines - Afghanistan	Sharif
BHK	Blu Halkin Ltd - United Kingdom	Bluhalkin
BHL	Bristow Helicopters Group Ltd. - United Kingdom	Bristow
BHN	Bristow Helicopters (Nig) Limited - Nigeria	Bristow Helicopters
BHO	Bhoja Airlines - Pakistan	Bhoja
BHR	Bighorn Airways, Inc. (Sheridan, WY) - United States	Bighorn Air
BHS	Bahamas Air Holdings Ltd. - Bahamas	Bahamas
BHZ	BHS Aviation AG - Switzerland	Alpine Star
BIA	Bohlke International Airways - United States	Bohlke
BIC	Alphaland Aviation, Inc. - Philippines	Balesin
BIG	Big Island Air, Inc. (Kailua - Kona, HI) - United States	Big Isle
BIH	British International - United Kingdom	Brintel
BIL	Billund Air Center A/S - Denmark	Bilair
BIN	Boise Interagency Fire Center (Boise, ID) - United States	Bison-Air
BIO	Bioflight A/S - Denmark	Bioflight
BIR	Bird Leasing, Inc. (North Andover, MA) - United States	Bird Air
BIT	Northeast Aviation, Inc. (Lansing, IL) - United States	Run Bitty
BIV	Aviaservice - Georgia	Aviaservice
BIZ	Bizjet de Mexico S.A. de C.V. - Mexico	Bizmex
BJA	Baja Air, S.A. de C.V. - Mexico	Baja Air
BJC	Baltic Jet Aircompany - Latvia	Baltic Jet
BJF	Baja Fly S. de R.L. de C.V. - Mexico	Baxa
BJK	Atlantic Airlines (Orlando, FL) - United States	Blackjack
BJN	Beijing Airlines Co., Ltd - China	Air-Jinghua
BJS	Business Jet Solutions (Dallas, TX) - United States	Solution
BJT	ACM Aviation, Inc. (San Jose, CA) - United States	Bay Jet
BJU	Aerojet Airlines - Ukraine	Jet Express
BJV	Beijing Vistajet Aviation Co., Ltd - China	Beijing Vista
BKA	Bankair, Inc. (West Columbia, SC) - United States	Bankair
BKB	State of West Virginia, Aviation Division (Charleston, WV) - United States	Black Bear
BKE	Airbrock Management and Charter Services, Inc. - United States	Air Brock
BKF	BF-lento Oy - Finland	Bakerflight
BKH	Barkston Heath FTU (Mil) - United Kingdom	Barkston
BKJ	Barken International, Inc. (Salt Lake City, UT) - United States	Barken Jet
BKK	Blink Ltd - United Kingdom	Blinkair
BKL	Aircompany Barcol - Russian Federation	Barcol
BKM	Advisors Aviation (St. Louis, MO) - United States	Cardinal
BKN	Parks College of Engineering, Aviation and Technology, St. Louis University (Cahokia, IL) - United States	Billiken
BKO	Briko Air Service Ltd - Trinidad and Tobago	Briko
BKP	Bangkok Airways - Thailand	Bangkok Air
BKS	Atlantic Coast Aircraft Services (Reading, PA) - United States	Berks
BKT	Tab Charters (Pty) Ltd - South Africa	Blacktail
BKV	Bukovyna - Ukraine	Bukovyna
BKY	Bluesky Airways - Botswana	Blue Airways
BLA	Blue Air Aviation S.A. - Romania	Blue Air
BLB	Blue Bird Aviation Co. Ltd - Sudan	Bluebird Sudan
BLC	Bellesavia - Belarus	Bellesavia
BLD	Bournemouth Commercial Flight Training Centre - United Kingdom	Blackadder
BLE	Executive Air Services, LLC (Miami, FL) - United States	Bluewater
BLG	Belgavia (Societe de Handling) - Belgium	Belgavia
BLH	Blue Horizon Travel Club (Cincinnati, OH) - United States	Blue Horizon
BLI	Thyssen Krupp AG, Dusseldorf - Germany	Blueline
BLJ	Bluelink Jets Ab - Sweden	Bluejet
BLK	Usac Airways 695 LLC - United States	Aero Black
BLL	Baltic Airlines - Russian Federation	Baltic Airlines
BLM	Helicopteros Personales, S.A. - Panama	Heli Per
BLN	Belton Park 59 (Pty) T/A Belton Air - South Africa	Belton
BLO	VC Belogorie - Russian Federation	Belogorie
BLR	Metropolitan Aviation - United States	Blueridge
BLS	Bearskin Lake Air Service Limited - Canada	Bearskin
BLT	Air Et Compagnie - France	Blue Tie
BLU	Solutions Air Charter, LLC (Zionsville, IN) - United States	Bluegrass
BLV	Bell-View Airlines Limited - Nigeria	Bellview Airlines
BLW	Wermlandsflyg Operations Ab - Sweden	Bluestar
BLX	Tuifly Nordic Ab - Sweden	Bluescan
BLY	Blue Ridge Aero Services - United States	Blue Aero
BLZ	Aero Barloz, S.A. de C.V. - Mexico	Aeroloz
BMD	British Medical Charter - United Kingdom	British Medical
BME	Briggs Marine Environmental Services Ltd - United Kingdom	Briggs
BMG	Image Air Charter Ltd - Canada	Boomerang
BMJ	Bemidji Airlines (Bemidji, MN) - United States	Bemidji
BML	Bismillah Airlines Ltd - Bangladesh	Bismillah
BMP	Bundled Aerial Mapping Assts, LLC (Huntsville, AL) - United States	Air Bama
BMR	British Midland Regional Ltd - United Kingdom	Midland
BMT	Bahamas Habitat (Cary, NC) - United States	Symonette
BMW	BMW Flugdienst, Munchen-Flughafen - Germany	BMW-Flight
BMX	Banco de Mexico - Mexico	Banxico
BNA	Bun Air Corporation (Bedford, PA) - United States	Bun Air
BNB	Beyond General Aviation Co., Ltd. - China	Dazzle
BNC	Sundance Air, Incorporated (Denver, CO) - United States	Barnacle Air
BND	Bond Offshore Helicopters Ltd - United Kingdom	Bond
BNF	Bristol Flight Training Centre Ltd - United Kingdom	Brunel
BNG	Bn Group Limited - United Kingdom	Vectis
BNH	Guangzhou Baoneng Business Aviation Co., Ltd. - China	Baoneng Jet
BNI	Bartolini Air Regional - Poland	Bartolini
BNJ	ASL - Belgium	Jet Belgium
BNL	Berniq Airways - Libya	Manara
BNO	Babcock Scandinavian Airambulance AS - Norway	Norse
BNS	Valley National Corp. D/B/A Bancstar (Phoenix, AZ) - United States	Bancstar
BNT	Bentiu Air Transport - Sudan	Bentiu Air
BNV	Benane Aviation Corporation - Mauritania	Benane
BNX	I.A.A.C.A. (L.A.I.) - Venezuela (Bolivarian Republic of)	Air Barinas
BNY	Norfolk Island Airlines - Australia	Bounty
BOA	Boniair - The Republic of North Macedonia	Kumanovo
BOB	Backbone A/S - Denmark	Backbone
BOC	Aerobona, S.A. de C.V. - Mexico	Aerobona
BOD	Bond Air Services Ltd. - Uganda	Ugabond
BOE	Boeing Commercial Airplane Group (Seattle, WA) - United States	Boeing
BOF	Bornfly Aps - Denmark	Bornflight
BOG	Live Oak Banking Company - United States	Bird Dog
BOH	Air Bohemia A.S. - Czech Republic	Bohemia
BOL	Transportes Aereos Bolivianos (TAB) - Bolivia (Plurinational State of)	Bol
BON	B&H Airlines - Bosnia and Herzegovina	BH Airlines
BOO	Bookajet Ltd - United Kingdom	Bookajet
BOR	Bolidor S.A. - Uruguay	Bolidorsa
BOS	Openskies - France	Mistral
BOT	Air Botswana (Pty.), Ltd. - Botswana	Botswana
BOV	Boliviana de Aviacion - Bolivia (Plurinational State of)	Boliviana
BOX	Aerologic GmbH, Leipzig - Germany	German Cargo
BPA	Blue Panorama Airlines SpA - Italy	Blue Panorama
BPH	Phoenix Helicopter Academy - United Kingdom	Black Phoenix
BPO	Bundespolizei-Fliegergruppe, St. Augustin - Germany	Pirol
BPS	Budapest Aircraft Service Ltd - Hungary	Base
BPT	Bonus Aviation - United Kingdom	Bonus
BRA	Aviatsiya State Aviation Emergency Rescue Agency - Belarus	Belrescue
BRB	Bra-Transportes Aereos Ltda. - Brazil	Bra-Transpaereos
BRC	Breeze Aviation - Bulgaria	Bravi
BRE	Breeze Ltd - Ukraine	Aviabreeze
BRF	Air Bravo - Uganda	Air Bravo
BRG	Bering Air, Inc. (Nome, AK) - United States	Bering Air
BRH	Star Air Cargo (Pty) Ltd - South Africa	Brightstar
BRI	Barrick - Chile	Barrick
BRK	Heavy Airlift Wing - Hungary	Bartok
BRL	Topbrass Aviation - Nigeria	Brass Line
BRN	Eclipse Airlines, Inc. D/B/A Branson  Airlines, Inc. (Chantilly, VA) - United States	Branson
BRO	2 Excel Aviation Ltd - United Kingdom	Broadsword
BRP	Airport Bratsk, JSC - Russian Federation	Aerobra
BRQ	El-Buraq Air Transport Inc. - Libya	Buraqair
BRR	Mountain Air Service, Inc (Big Bear City, CA) - United States	Mountain Air
BRS	Brazilian Air Force - Brazil	Brazilian Air Force
BRT	British International Helicopter Services Limited - United Kingdom	British
BRU	Belavia - Belarus	Belarus Avia
BRX	Braathens Regional Airways Ab - Sweden	Braathens
BRY	Burundayavia JSC - Kazakhstan	Burair
BSA	Air Bissau International Lda - Guinea-Bissau	Bissau International
BSC	Aerostan - Kyrgyzstan	Big Shot
BSD	Blue Star Airlines, S.A. de C.V. - Mexico	Airlines Star
BSH	Beijing Capital Airlines Helicopter General Aviation Services Co., Ltd - China	Capital Rotor
BSJ	Skybus Jet Ltd - Bahamas	Skybus Jet
BSK	Miami Air International, Inc. (Miami, FL) - United States	Biscayne
BSL	Air Brasil Linhas Aereas LTDA - Brazil	Airbrasil
BSX	Bassaka Air Ltd. - Cambodia	Bassaka
BSY	Big Sky Airlines (Billings, MT) - United States	Big Sky
BTH	Baltijas Helicopters - Latvia	Baltijas Helicopters
BTI	Air Baltic Corporation JSC - Latvia	Airbaltic
BTK	Pt. Batik Air Indonesia - Indonesia	Batik
BTL	Baltia Air Lines, Inc. (Jamaica, NY) - United States	Baltia
BTM	Blue Team Flight School - Spain	Blue Team
BTN	Bhutan Airline - Bhutan	Bhutan Air
BTP	Kingcrete Associates - Pakistan	Bahria Town
BTQ	Boutique Air - United States	Boutique
BTU	Rolls Royce Ltd. (Bristol Engine Division) - United Kingdom	Rolls
BTX	Volkswagen Airservice GmbH - Germany	Beetle
BTZ	Bristow US, LLC (New Iberia, LA) - United States	Bristow Group
BUC	European Air Charter - Bulgaria	Eurocharter
BUF	Buff Air Services - Kenya	Speedhawk
BUG	Innovation First - United States	Hexbug
BUR	S.C. Air Bucharest Transport Aerian S.r.l. - Romania	Air Bucharest
BUT	Butlers Aviation - Bahamas	Butlers
BVA	Buffalo Airways (Waco, TX) - United States	Buffalo Air
BVG	BVG Viajes, S.A. de C.V. - Mexico	Beeveegee Viajes
BVI	BV Airways Inc. - United Kingdom	Drake
BVL	Bul Air Ltd. - Bulgaria	Bulgary
BVN	Baron Aviation Services, Inc. (Vichy, MO) - United States	Show-Me
BVR	ACM Air Charter GmbH, Rheinmuenster - Germany	Bavarian
BVT	Berjaya Air Sdn Bhd - Malaysia	Berjaya
BWA	Caribbean Airlines Limited - Trinidad and Tobago	Caribbean Airlines
BWD	Bluewest Helicopters-Greenland Aps - Denmark	Bluewest
BWI	Blue Wing Airlines N.V. - Suriname	Blue Tail
BWJ	HK Bellawings Jet Limited - China	Bellawing
BWK	Alter Aeroservicios S.A. de C.V. - Mexico	Alteraero
BWS	Bass Airways CC - South Africa	Bass Exec
BWY	Fleet Requirements Air Direction Unit - United Kingdom	Broadway
BXA	Bahrain Executive Air Services Co. (Bexair) - Bahrain	Bexair
BXH	Bar XH Air Inc. - Canada	Palliser
BXJ	Brixtel Group, Inc. (Reston, VA) - United States	Brixtel Jet
BXR	Redding Aero Enterprises, Inc. (Redding, CA) - United States	Boxer
BXX	Badlands Aviation - United States	Strongbox
BYA	Berry Aviation, Inc. (San Marcos, TX) - United States	Berry
BYC	Cambodia Bayon Airlines - Cambodia	Bayon Air
BYF	San Carlos Flight Center - United States	Bay Flight
BYG	Bygone Aviation, LLC (Guymon, OK) - United States	Bygone
BYS	Joint Stock Company Aviacompany Bysky - Belarus	Bel Sky
BZA	Aerolineas Bonanza S.A. de C.V. - Mexico	Bonan Air
BZE	Zenith Aviation Ltd - United Kingdom	Zenstar
BZQ	Seneca College - Canada	Sting
BZS	Aero Biniza, S.A. de C.V. - Mexico	Biniza
BZY	Fresh Air Aviation (Charlevoix, MI) - United States	Breezy
BZZ	Butane Buzzard Aviation Corporation - United Kingdom	Buzzard
CAA	Civil Aviation Authority of the Czech Republic - Czech Republic	Inspector
CAB	Chesapeake Air Service (Pasadena, MD) - United States	Chesapeake Air
CAC	Conquest Airlines (Beaumont, TX) - United States	Conquest Air
CAD	Cardig Air, Pt. - Indonesia	Cardig Air
CAE	Centrafrique Air Express - Central African Republic	Express Centraf
CAH	E+S Air - Italy	Smartair
CAI	Turistik Hava Tasimacilik A.S. - Turkey	Corendon
CAJ	Air Caraibes Atlantique - France	Car Line
CAK	Southwest Aircraft Charter - United States	Cactus
CAL	China Airlines - China	Dynasty
CAM	Village Aviation, Inc. D/B/A Camai-Air (Bethel, AK) - United States	Air Camai
CAN	Contact Air Sarl - Niger	Gober Air
CAO	Air China Cargo Co., Ltd - China	Airchina Freight
CAP	United States Air Force Auxiliary / Civil Air Patrol (Maxwell AFB, AL) - United States	Cap
CAR	Inter RCA - Central African Republic	Quebec Romeo
CAS	Christman Air System (Washington, PA) - United States	Christman
CAT	Copenhagen Airtaxi A/S - Denmark	Aircat
CAU	Canarias Aeronautica, S.L. - Spain	Canarias Link
CAV	Calm Air - Canada	Calm Air
CAW	Comair Ltd - South Africa	Commercial
CAX	Consorcio Aereo de Xalapa - Mexico	Consorcio
CAY	Cayman Airways Ltd. - United Kingdom	Cayman
CAZ	Cat Aviation AG - Switzerland	Eurocat
CBA	Air Navigation Services of the Czech Republic - Czech Republic	Calibra
CBB	Cargo B Airlines N.V./S.A. - Belgium	Cargo-Bee
CBD	Lockheed Martin Aeronautics (Fort Worth, TX) - United States	Catbird
CBF	Cascadia Airways Inc - Canada	Bigfoot
CBG	Guangxi Beibu Gulf Airlines Co. Ltd. - China	Green City
CBH	Corporate Eagle Management Services, Inc. (Waterford, MI) - United States	Club House
CBJ	Beijing Capital Airlines Co., Ltd - China	Capital Jet
CBL	Colombe Airline S.A. - Burkina Faso	Colombe Line
CBM	Dragonfly Aviation Services Limited - United Kingdom	Cambrian
CBN	Southern Illinois University D/B/A Flight School (Murphysboro, IL) - United States	Carbondale
CBO	Aerotaxi del Cabo, S.A. de C.V. - Mexico	Taxi Cabo
CBR	Cobra Aviation - South Africa	Strike
CBS	Air Columbus - Ukraine	Air Columbus
CBT	Catalina Flying Boats, Inc. (Long Beach, CA) - United States	Catalina Air
CBU	Scanblu Airlines Ab - Sweden	Scanair
CBV	Aereo Cabo, S.A. de C.V. - Mexico	Caboaereo
CBW	SH Bellawings Airlines Limited - China	Superwings
CBX	Cobrex Trans - Romania	Cobrex
CBY	Coningsby FTU - United Kingdom	Typhoon
CBZ	Nonstop Aviation (Boca Raton, FL) - United States	Cool Breeze
CCA	Air China - China	Air China
CCB	Caricom Airways (Barbados) Inc. - Barbados	Dolphin
CCC	Air Cargo Global, S.R.O. - Slovakia	Global Cargo
CCD	Dalian Airlines Ltd - China	Xiangjian
CCH	Chilchota Taxi Aereo, S.A. de C.V. - Mexico	Chilchota
CCI	Baa Aviation Limited - China	Kungfu
CCL	Cambodia Airlines - Cambodia	Angkor Wat
CCM	Corse-Mediterranee, Compagnie - France	Corsica
CCO	China Air Cargo Co., Ltd - China	Avic Cargo
CCP	Grand Holdings, Inc. Champion Air (Manhattan Beach, CA) - United States	Champion Air
CCQ	Capital City Air Carriers, Inc. (Pierre, SD) - United States	Cap City
CCS	Comac Shanghai Aircraft Customer Service Co., Ltd. - China	Comac Express
CCT	Connect Air Ltd. - Canada	Connect
CCW	Coptrade Air Transport - Sudan	Coptrade Air
CCY	Cherry Air, Inc. (Dallas, TX) - United States	Cherry
CDA	Aerocardal - Chile	Aerocardal
CDC	Zhejiang Loong Airlines Co., Ltd - China	Loong Air
CDE	Comed Group - United Kingdom	Comex
CDF	Aeroservicios Aov, S.A. de C.V. - Mexico	Servicio Aereo
CDG	Shandong Airlines - China	Shandong
CDL	Sunbird Airlines, Inc. (Charlotte, NC) - United States	Carolina
CDN	Canadian Helicopters Limited DBA Hnz Global - Canada	Canadian
CDO	Tchadia Airlines - Chad	Tchadia
CDQ	Chodang University - Republic of Korea	Chodang Flight
CDR	Bombardier Montreal - Canada	Canadair
CDS	Spectrem Air Ltd - South Africa	Specdas
CDT	Real Aero Club de Reus-Costa Dorada - Spain	Aeroreus
CDV	Airline Skol - Russian Federation	Skol
CDX	Cedar Executive - Lebanon	Cedarex
CDY	Heliaviation Limited - United Kingdom	Caddy
CEA	Corporate Express Airlines (Nashville, TN) - United States	Corp-X
CEB	Cebu Pacific Air - Philippines	Cebu Air
CEE	Servicios Aereos Centrales, S.A. de C.V. - Mexico	Centra Aereos
CEF	Czech Air Force - Czech Republic	Czech Air Force
CEG	Cega Aviation Limited - United Kingdom	Cega
CEL	Ceiba Intercontinental - Equatorial Guinea	Ceiba Line
CEN	Central Air Transport Services - Zimbabwe	Shumba
CEP	Chipola Aviation, Inc. (Marianna, FL) - United States	Chipola
CER	Cosmopolitan Air Operations, S.A.P.I. de C.V. - Mexico	Cosmer
CES	China Eastern Airlines - China	China Eastern
CET	Centrafrican Airlines - Central African Republic	Centrafricain
CEV	Centre d'Essais en Vol - France	Centev
CEW	Central Airways - Central African Republic	Trydonair
CEY	Air Century, S.A. - Dominican Republic	Centuryflight
CEZ	Cesszani Aviation - South Africa	Cesszani
CFA	China Flying Dragon Aviation Co. - China	Feilong
CFB	Chongqing Forebase General Aviation Co., Ltd - China	Forebase
CFC	Canadian Armed Forces - Canada	Canforce
CFD	Cranfield University - United Kingdom	Aeronaut
CFE	BA Cityflyer Ltd - United Kingdom	Flyer
CFF	Aerofan - Spain	Aerofan
CFG	Condor Flugdienst GmbH, Kelsterbach (Sitz) - Germany	Condor
CFH	Care Flight Pty Ltd - Australia	Care Flight
CFI	Flight Inspection Center of the General Administration of Civil Aviation of China - China	China Jet
CFL	Bromma Air Maintenance Ab - Sweden	Calibration
CFN	Church Fenton FTU - United Kingdom	Church Fenton
CFR	California Department of Forestry and Fire Protection (McClellan, CA) - United States	Calfire
CFS	Empire Airlines (Hayden Lake, UT) - United States	Empire Air
CFT	Jet Freighters, Inc. (Portland, ME) - United States	Casper Freight
CFU	CAA Flying Unit - United Kingdom	Minair
CFV	Aero Calafia, S.A. de C.V. - Mexico	Calafia
CFX	Cfa Air Charters (Pty) Ltd - South Africa	Ceefa Charter
CFZ	China Flight General Aviation Company - China	Zhongfei
CGA	Congressional Air, Ltd (Gaithersburg, MD) - United States	Congressional
CGB	Comercializacion Industrial Global, S.A. de C.V. - Mexico	Comglob
CGC	Cal Gulf Aviation - Sao Tome and Principe	Cal-Gulf
CGE	Nelson Aviation College Ltd - New Zealand	College
CGF	Cargo Air Ltd - Bulgaria	Clever
CGG	Walmart Aviation (Rogers, AR) - United States	Charge
CGH	Air Guilin Co., Ltd. - China	Welkin
CGN	Air Changan Co., Ltd. - China	Chang An
CGO	Chicago Air, Inc. (Chicago, IL) - United States	Wild Onion
CGP	Capital Aircraft Group - Belgium	Capgroup
CGR	Compagnia Generale Ripreseaeree S.P.A. - Italy	Comprip
CGU	Chinguetti Airlines - Mauritania	Chinguetti
CGV	Aero Clube Do Algarve - Portugal	Clube Algarve
CGX	United States Coast Guard Auxiliary (Washington, DC) - United States	Coastguard Auxair
